planet_name,orbital_period_days,transit_midpoint_bjd,transit_duration_hrs,transit_depth_ppm,planet_radius_earth,equilibrium_temp_k,insolation_earthflux,stellar_teff_k,stellar_radius_sun,stellar_logg_cgs,ra_deg,dec_deg,source
K00845.01,16.3297527,177.29506,6.271,1187.5,3.75,727.0,66.08,5878.0,0.987,4.444,288.51001,41.301769,Kepler
K00846.01,27.807566216,186.713552,4.21587,25391.0,13.84,554.0,22.24,5862.0,0.785,4.584,296.88821,41.396091,Kepler
K00847.01,80.8723469,203.895,11.195,3604.6,7.59,452.0,9.88,5510.0,1.238,4.222,287.1543,41.565788,Kepler
K00848.01,3.166465862,172.002627,2.9381,4357.2,26.82,954.0,196.31,4968.0,0.704,4.575,284.86929,41.679192,Kepler
K00118.01,24.99324319,138.68167,5.9409,269.6,2.29,712.0,60.88,5718.0,1.317,4.181,287.36279,38.649601,Kepler
K00849.01,10.35533116,170.93729,3.1775,750.6,2.47,777.0,86.22,5501.0,0.918,4.462,288.9942,41.633282,Kepler
K00867.01,16.08518937,180.28319,3.984,1442.4,3.68,613.0,33.43,5239.0,0.826,4.523,292.10519,42.380322,Kepler
K00868.01,235.9986399,208.399822,8.2284,20715.0,10.59,188.0,0.29,4245.0,0.657,4.627,293.00797,42.307201,Kepler
K00869.01,7.49018305,174.95037,2.7297,1123.6,2.56,753.0,76.06,5103.0,0.787,4.562,291.63898,42.436321,Kepler
K00869.02,36.2761238,201.2869,4.7865,1572.6,3.03,445.0,9.29,5103.0,0.787,4.562,291.63898,42.436321,Kepler
K00869.03,17.46087931,137.26594,2.2641,812.4,2.32,568.0,24.6,5103.0,0.787,4.562,291.63898,42.436321,Kepler
K00854.01,56.0560754,201.16578,4.685,1626.0,1.94,233.0,0.69,3593.0,0.491,4.757,289.50848,41.812119,Kepler
K00855.01,41.408316686,195.78745,5.0264,22839.0,11.38,453.0,9.93,5522.0,0.747,4.586,291.76041,41.944069,Kepler
K00856.01,39.74893077,172.854644,7.3051,15179.0,14.21,552.0,21.87,6122.0,0.964,4.487,293.17929,41.969238,Kepler
K00857.01,5.715425977,174.87931,2.5242,908.1,2.47,850.0,123.03,5237.0,0.826,4.572,285.11047,42.033958,Kepler
K00119.01,49.18394185,141.911924,11.3364,1646.2,8.2,669.0,47.4,5626.0,2.057,3.907,294.55917,46.062328,Kepler
K00857.02,20.0261412,146.91109,1.611,421.2,2.28,559.0,23.14,5237.0,0.826,4.572,285.11047,42.033958,Kepler
K00858.01,13.61014819,173.987319,2.594,5732.9,19.02,733.0,68.29,5697.0,0.903,4.46,289.89777,42.009151,Kepler
K00859.01,10.44331991,175.4046,2.743,1159.8,2.66,667.0,46.94,4947.0,0.802,4.516,286.24356,42.148811,Kepler
K00861.01,2.237489571,170.81914,1.8119,315.8,1.41,1160.0,427.17,5265.0,0.81,4.58,290.00757,42.116459,Kepler
K00862.01,5.851520671,173.8228336,3.11058,33004.0,14.62,901.0,155.89,5532.0,0.806,4.53,284.08731,42.233231,Kepler
K00863.01,3.167893418,172.147959,2.1814,781.2,2.62,1221.0,526.23,5895.0,0.94,4.503,293.81647,42.212502,Kepler
K00864.01,4.311780262,173.576483,2.7251,1154.0,3.11,1038.0,274.84,5527.0,0.927,4.484,287.24268,42.301369,Kepler
K00864.02,20.0504494,188.08821,4.556,840.9,2.69,622.0,35.44,5527.0,0.927,4.484,287.24268,42.301369,Kepler
K00864.03,9.76734503,186.57718,1.6585,569.1,2.67,791.0,92.46,5527.0,0.927,4.484,287.24268,42.301369,Kepler
K00865.01,119.0207044,222.236492,8.1405,7430.5,8.98,366.0,4.25,5453.0,1.062,4.342,291.58377,42.36816,Kepler
K00119.02,190.3200468,312.68498,15.284,1141.7,7.78,426.0,7.8,5626.0,2.057,3.907,294.55917,46.062328,Kepler
K00866.01,2.861159894,171.648106,1.8832,1014.3,4.37,1355.0,797.1,6126.0,1.021,4.458,291.67172,42.343109,Kepler
K00880.01,26.44439337,194.12074,3.9783,1843.5,3.91,562.0,23.54,5427.0,0.929,4.463,292.87338,42.966141,Kepler
K00880.02,51.53997972,174.055011,6.3994,3644.3,5.51,450.0,9.67,5427.0,0.929,4.463,292.87338,42.966141,Kepler
K00880.03,5.902245782,136.78393,2.9003,702.3,2.43,926.0,173.74,5427.0,0.929,4.463,292.87338,42.966141,Kepler
K00880.04,2.382951591,135.080841,1.8876,391.6,1.86,1253.0,583.01,5427.0,0.929,4.463,292.87338,42.966141,Kepler
K00881.01,21.02250608,207.67593,4.1072,1772.5,3.07,521.0,17.48,5067.0,0.75,4.585,294.90973,42.935261,Kepler
K00869.04,3.219814777,133.00406,2.0642,488.2,1.69,998.0,234.93,5103.0,0.787,4.562,291.63898,42.436321,Kepler
K00870.01,5.912273234,172.184012,2.3254,961.4,1.73,585.0,27.72,4072.0,0.57,4.696,292.13702,42.42942,Kepler
K00870.02,8.98581901,175.68418,2.8606,881.3,1.65,509.0,15.9,4072.0,0.57,4.696,292.13702,42.42942,Kepler
K00871.01,12.940668656,179.423014,2.4845,42450.0,22.94,723.0,64.64,5875.0,0.809,4.572,291.11969,42.507069,Kepler
K00120.01,20.5452375,137.91394,2.517,218.5,2.41,742.0,71.57,5670.0,1.264,4.206,294.40192,50.172089,Kepler
K00872.01,33.60123371,186.680343,4.4056,7425.9,8.46,495.0,14.22,5149.0,0.93,4.447,289.26874,42.604172,Kepler
K00872.02,6.76652928,138.0637,2.9004,450.7,1.97,845.0,120.48,5149.0,0.93,4.447,289.26874,42.604172,Kepler
K00873.01,4.347288783,172.23343,2.1024,451.6,2.36,1174.0,449.79,5754.0,1.122,4.345,291.96417,42.69614,Kepler
K00874.01,4.601811819,169.98108,2.2607,755.9,2.35,896.0,152.91,4986.0,0.833,4.496,296.48343,42.663429,Kepler
